matchkey_skill_norm,example_original,freq_candidates,freq_jobs,freq_total,source,match_type,esco_uri,esco_preferred_label,similarity,best_candidate_below_threshold
plan de desarrollo profesional y revision salarial periodica,Plan de desarrollo profesional y revisión salarial periódica,0,1,1,job,none,,,0.305,manage periodic calibration plans
jornada intensiva los viernes y en julio/agosto,Jornada intensiva los viernes y en julio/agosto,0,1,1,job,none,,,0.3014,intensive care medicine
mas vacaciones + dia de cumpleanos libre,Más vacaciones + día de cumpleaños libre,0,1,1,job,none,,,0.1954,fibre optics
execution,execution,0,1,1,job,contains,http://data.europa.eu/esco/skill/50b032eb-1b54-4a30-9298-11f1cd5b03e8,ensure sentence execution,0.3333,
rapid hypothesis validation,rapid hypothesis validation,0,1,1,job,none,,,0.4445,apply validation engineering
side project development,side project development,0,1,1,job,none,,,0.6275,manage content development projects
product launch experience,product launch experience,0,1,1,job,none,,,0.5727,use experience map
ai tools utilization,AI tools utilization,0,1,1,job,none,,,0.4627,sterilization techniques
ai community leadership,AI community leadership,0,1,1,job,none,,,0.6774,provide leadership
financial industry knowledge,Financial industry knowledge,0,1,1,job,none,,,0.6057,assess ICT knowledge
work flexibility,Work flexibility,0,1,1,job,none,,,0.4048,perform services in a flexible manner
hybrid working model in barcelona,Hybrid working model in Barcelona,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,Hybrid model,0.7318,
high-impact strategy implementation,High-impact strategy implementation,0,1,1,job,none,,,0.5732,implement transport strategy
collaborative and dynamic environment,Collaborative and dynamic environment,0,1,1,job,none,,,0.4237,establish collaborative relations
hybrid collaborative environment,Hybrid collaborative environment,0,1,1,job,none,,,0.4966,Hybrid model
meal voucher / food voucher,Meal voucher / food voucher,0,1,1,job,none,,,0.2823,pour mix into rubber pouches
life insurance (wellhub),Life insurance (Wellhub),0,1,1,job,none,,,0.6146,sell insurance
cloud deployments,Cloud deployments,0,1,1,job,none,,,0.584,manage ICT system deployment
fairness,Fairness,0,1,1,job,none,,,0.3412,attend trade fairs
explainability,Explainability,0,1,1,job,none,,,0.5068,promote sustainability
bias mitigation,Bias mitigation,0,1,1,job,none,,,0.4936,plan railway incident mitigation measures
model monitoring,Model monitoring,0,1,1,job,none,,,0.4893,create model
retribucion acorde a experiencia,Retribución acorde a experiencia,0,1,1,job,none,,,0.444,use experience map
crecimiento real,Crecimiento real,0,1,1,job,none,,,0.3092,real estate market
"experience with ai for purchasing automation, autonomous agents, or conversational interfaces","Experience with AI for purchasing automation, autonomous agents, or conversational interfaces",0,1,1,job,none,,,0.3405,write in conversational tone
experience in global projects or multinational companies,Experience in global projects or multinational companies,0,1,1,job,none,,,0.3891,use experience map
spanish language proficiency,Spanish language proficiency,0,1,1,job,none,,,0.5348,Spanish
kpi definition,KPI definition,0,1,1,job,none,,,0.6693,create definitions
product roadmap planning,Product roadmap planning,0,1,1,job,none,,,0.6769,perform product planning
global product strategy definition,Global product strategy definition,0,1,1,job,none,,,0.5291,integrate marketing strategies with the global strategy
"technical documentation (swagger, postman)","Technical documentation (Swagger, Postman)",0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/cffc3e97-e942-4b13-a2f3-0bf4910c06d3,use technical documentation,0.7105,
version control (git),Version control (Git),0,1,1,job,none,,,0.4188,control production
payment platform integration,Payment platform integration,0,1,1,job,none,,,0.4403,check payment
meal voucher/food voucher,Meal voucher/food voucher,0,1,1,job,none,,,0.2973,pour mix into rubber pouches
embedded linux,Embedded Linux,0,1,1,job,none,,,0.6952,embedded systems
rtos,RTOS,0,1,1,job,none,,,0.3567,select photos
bare-metal,Bare-metal,0,1,1,job,none,,,0.4409,metal and metal ore products
c/c++,C/C++,0,1,1,job,contains,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,1.0,
english (b2/c1),English (B2/C1),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,1.0,
responsible ai,Responsible AI,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/8f15b22d-930e-4842-80dc-5cab28ac71fc,responsible gambling,0.7627,
retribucion competitiva,Retribución competitiva,0,1,1,job,none,,,0.5428,competition law
horarios flexibles,Horarios flexibles,0,1,1,job,none,,,0.4715,perform services in a flexible manner
trabajo presencial hibrido,Trabajo presencial híbrido,0,1,1,job,none,,,0.2618,plan presence at professional events
pensamiento innovador,Pensamiento innovador,0,1,1,job,none,,,0.4241,innovate in ICT
tendencias en ia,Tendencias en IA,0,1,1,job,none,,,0.2846,manage tender processes
arquitecturas distribuidas,Arquitecturas distribuidas,0,1,1,job,none,,,0.3168,distribute pensions
apis graphql,APIs GraphQL,0,1,1,job,none,,,0.3766,graphite
arquitecturas de agentes de ia,Arquitecturas de agentes de IA,0,1,1,job,none,,,0.3136,architectural design
potential stable employment,Potential stable employment,0,1,1,job,none,,,0.6006,employment law
impactful project,Impactful project,0,1,1,job,none,,,0.5137,manage ICT project
multidisciplinary team,Multidisciplinary team,0,1,1,job,contains,http://data.europa.eu/esco/skill/277a2eba-ce6d-4ef5-857b-df8a66584839,manage a multidisciplinary team involved in patient care,0.25,
quality orientation,Quality orientation,0,1,1,job,none,,,0.6144,ensure client orientation
"legal knowledge (civil, commercial, fiscal)","Legal knowledge (civil, commercial, fiscal)",0,1,1,job,none,,,0.4577,assess ICT knowledge
ai solution design,AI solution design,0,1,1,job,none,,,0.6254,design failover solutions
open-source development,Open-source development,0,1,1,job,none,,,0.593,plan water resource development
knowledge of the brazilian payment methods market,Knowledge of the Brazilian payment methods market,0,1,1,job,none,,,0.4875,assess ICT knowledge
media jornada,Media jornada,0,1,1,job,none,,,0.5236,media law
life insurance,Life insurance,0,1,1,job,none,,,0.6993,insurance law
wellhub,Wellhub,0,1,1,job,none,,,0.3896,connect equipment to wellheads
payment methods market knowledge in brazil,payment methods market knowledge in Brazil,0,1,1,job,none,,,0.5118,assess ICT knowledge
conversational interfaces,conversational interfaces,0,1,1,job,none,,,0.6335,write in conversational tone
autonomous agents,autonomous agents,0,1,1,job,none,,,0.5768,perform manual work autonomously
ai purchasing automation,AI purchasing automation,0,1,1,job,none,,,0.5697,manage purchasing cycle
order intents,order intents,0,1,1,job,none,,,0.5137,order products
english (medium),English (medium),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.7633,
email marketing tools,email marketing tools,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/36931cb7-ca3f-4be1-8428-f38eefc8e1ed,execute email marketing,0.7065,
no-code platforms,no-code platforms,0,1,1,job,none,,,0.6702,ICT help platforms
foreign trade knowledge,foreign trade knowledge,0,1,1,job,none,,,0.6353,assess ICT knowledge
additional languages,additional languages,0,1,1,job,none,,,0.5865,teach languages
email marketing,email marketing,0,1,1,job,contains,http://data.europa.eu/esco/skill/36931cb7-ca3f-4be1-8428-f38eefc8e1ed,execute email marketing,0.6667,
no-code tools,no-code tools,0,1,1,job,none,,,0.4924,use IT tools
posibilidad de crecimiento a largo plazo,Posibilidad de crecimiento a largo plazo,0,1,1,job,none,,,0.2177,advise client on technical possibilities
jornadas intensivas los viernes,Jornadas intensivas los viernes,0,1,1,job,none,,,0.3215,intensive care medicine
formacion y aprendizaje continuos,Formación y aprendizaje continuos,0,1,1,job,none,,,0.4249,form continuous bands
ingles (nivel profesional),Inglés (nivel profesional),0,1,1,job,none,,,0.3425,develop professional network
gestion de stakeholders,Gestión de stakeholders,0,1,1,job,none,,,0.6498,communicate with stakeholders
facilitacion de workshops,Facilitación de workshops,0,1,1,job,none,,,0.6009,manage airport workshops
microsoft dynamics 365,Microsoft Dynamics 365,0,1,1,job,none,,,0.6069,Microsoft Access
divulgacion y formacion en ia y automatizacion,Divulgación y formación en IA y automatización,0,1,1,job,none,,,0.372,building automation
"conocimiento del sector financiero, supply chain o retail","Conocimiento del sector financiero, supply chain o retail",0,1,1,job,none,,,0.3912,supply chain management
traduccion de objetivos de negocio en planes tecnologicos,Traducción de objetivos de negocio en planes tecnológicos,0,1,1,job,none,,,0.1992,monitor sociological trends
gestion de stakeholders a nivel directivo,Gestión de stakeholders a nivel directivo,0,1,1,job,none,,,0.5216,communicate with stakeholders
comunicacion y facilitacion de workshops,Comunicación y facilitación de workshops,0,1,1,job,none,,,0.506,manage airport workshops
definicion de roadmaps y business cases,Definición de roadmaps y business cases,0,1,1,job,none,,,0.4648,develop business case
intelligent automation,Intelligent Automation,0,1,1,job,none,,,0.5385,business intelligence
inteligencia artificial aplicada,Inteligencia Artificial aplicada,0,1,1,job,none,,,0.5972,principles of artificial intelligence
participacion en proyectos internos,Participación en proyectos internos,0,1,1,job,none,,,0.3974,organise participation in international events
practicas virtuales,Prácticas virtuales,0,1,1,job,none,,,0.4698,develop virtual game engine
passion,Passion,0,1,1,job,none,,,0.3242,assist passengers
cross-functional collaboration,Cross-functional collaboration,0,1,1,job,none,,,0.402,collaborate on international energy projects
remote collaboration,Remote collaboration,0,1,1,job,none,,,0.5055,collaborate with engineers
professional english,Professional English,0,1,1,job,none,,,0.687,English
accessible design,Accessible design,0,1,1,job,none,,,0.3999,design process
responsible design frameworks,Responsible design frameworks,0,1,1,job,none,,,0.5344,software frameworks
generative tools,Generative tools,0,1,1,job,none,,,0.4337,set up generators
ai-assisted ui,AI-assisted UI,0,1,1,job,none,,,0.2275,assist customers
design systems,Design Systems,0,1,1,job,contains,http://data.europa.eu/esco/skill/d560df46-dda4-4407-bab2-b87353a96814,design control systems,0.6667,
ui/ux design,UI/UX design,0,1,1,job,none,,,0.5949,design process
product design,Product design,0,1,1,job,contains,http://data.europa.eu/esco/skill/fd4386c5-96f0-4c6e-970c-c08729ae0cc6,develop product design,0.6667,
ambiente de trabajo dinamico e inclusivo,Ambiente de trabajo dinámico e inclusivo,0,1,1,job,none,,,0.4258,promote inclusion
participacion en eventos microsoft,Participación en eventos Microsoft,0,1,1,job,none,,,0.572,Microsoft Access
eventos de empresa,Eventos de empresa,0,1,1,job,none,,,0.3125,plan events
descuentos para empleados,Descuentos para empleados,0,1,1,job,none,,,0.2271,rescue animals
tardes libres en julio y agosto,Tardes libres en julio y agosto,0,1,1,job,none,,,0.29,wash fibres
team spirit,Team spirit,0,1,1,job,none,,,0.4982,spirit taxation regulations
professional development support,Professional development support,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/48d73e89-b231-4bb4-9f3c-5c900a1e37a1,manage personal professional development in sport,0.7352,
global project experience,global project experience,0,1,1,job,none,,,0.5431,use experience map
kpis,KPIs,0,1,1,job,none,,,0.3837,set production KPI
product governance,product governance,0,1,1,job,none,,,0.6821,internet governance
roadmap planning,roadmap planning,0,1,1,job,none,,,0.5921,train planning
product strategy,product strategy,0,1,1,job,none,,,0.557,develop media strategy
payment platforms,payment platforms,0,1,1,job,none,,,0.6413,ICT help platforms
young technology environment,Young technology environment,0,1,1,job,none,,,0.4569,create 3D environments
remote work up to 2 days per week (possible 3),Remote work up to 2 days per week (possible 3),0,1,1,job,none,,,0.3898,report on possible hazards
container architectures,Container architectures,0,1,1,job,none,,,0.6024,hardware architectures
multimodal ai,Multimodal AI,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/4d6a1837-93df-4a81-b424-74e1a8ed2f03,multimodal transport logistics,0.7173,
gpu utilization,GPU utilization,0,1,1,job,none,,,0.5218,sterilization techniques
language models,Language models,0,1,1,job,none,,,0.645,sign language
high standards,High standards,0,1,1,job,contains,http://data.europa.eu/esco/skill/397afe57-de4d-4db6-a889-cc1de4cac0a1,establish high standards of collections care,0.3333,
risk-taking,Risk-taking,0,1,1,job,none,,,0.4058,risks associated with undertaking fishing operations
efectividad,efectividad,0,1,1,job,none,,,0.3775,remove defective products
distribucion,distribución,0,1,1,job,none,,,0.5004,distribute pensions
almacenamiento,almacenamiento,0,1,1,job,none,,,0.144,prepare the enamel
recepcion,recepción,0,1,1,job,none,,,0.4721,train reception staff
actitud proactiva,actitud proactiva,0,1,1,job,none,,,0.4588,think proactively
habilidades fisicas,habilidades físicas,0,1,1,job,none,,,0.2902,rehabilitation
companerismo,Compañerismo,0,1,1,job,none,,,0.3774,keep company
ambiente de trabajo joven y tecnologico,Ambiente de trabajo joven y tecnológico,0,1,1,job,none,,,0.2303,nonwoven machine technology
participacion en la toma de decisiones,Participación en la toma de decisiones,0,1,1,job,none,,,0.421,make decisions
"trabajo hibrido (2 dias en oficina, 2 dias teletrabajo, 1 dia de equipo)","Trabajo híbrido (2 días en oficina, 2 días teletrabajo, 1 día de equipo)",0,1,1,job,none,,,0.1254,automotive diagnostic equipment
pasion por la innovacion tecnologica,Pasión por la innovación tecnológica,0,1,1,job,none,,,0.4171,innovate in ICT
comunicacion en ingles,Comunicación en inglés,0,1,1,job,none,,,0.3204,communication
ia multimodal,IA multimodal,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/4d6a1837-93df-4a81-b424-74e1a8ed2f03,multimodal transport logistics,0.7316,
uso de gpus,Uso de GPUs,0,1,1,job,none,,,0.2543,Octopus Deploy
experimentos con grandes conjuntos de datos,Experimentos con grandes conjuntos de datos,0,1,1,job,none,,,0.3796,conduct experiments on animals
modelos de lenguaje,Modelos de lenguaje,0,1,1,job,none,,,0.4056,develop models
coordinacion de proyectos tecnologicos,Coordinación de proyectos tecnológicos,0,1,1,job,none,,,0.4321,coordinate technological activities
master en gestion de proyectos tecnologicos,Máster en Gestión de Proyectos Tecnológicos,0,1,1,job,none,,,0.3112,create master models
master en inteligencia artificial,Máster en Inteligencia Artificial,0,1,1,job,none,,,0.6,principles of artificial intelligence
master en ciencia de datos,Máster en Ciencia de Datos,0,1,1,job,none,,,0.3866,create master models
"metodologias agiles (scrum, kanban)","Metodologías ágiles (Scrum, Kanban)",0,1,1,job,none,,,0.3412,Agile development
analisis predictivo,Análisis predictivo,0,1,1,job,none,,,0.4921,build predictive models
fundamentos de ia,Fundamentos de IA,0,1,1,job,none,,,0.5417,implement fundamentals of nursing
presentacion de informes,Presentación de informes,0,1,1,job,none,,,0.4082,prepare presentation material
elaboracion de documentacion,Elaboración de documentación,0,1,1,job,none,,,0.4278,assist in the production of laboratory documentation
gestion de partes interesadas,Gestión de partes interesadas,0,1,1,job,none,,,0.3396,inform on interest rates
multitarea,Multitarea,0,1,1,job,none,,,0.3369,multimedia systems
certificacion pmp,Certificación PMP,0,1,1,job,none,,,0.527,issue certificates for animal products
"solidas habilidades de organizacion, incluyendo atencion al detalle y multitarea","Sólidas habilidades de organización, incluyendo atención al detalle y multitarea",0,1,1,job,none,,,0.2176,promote inclusion in organisations
solidos conocimientos de herramientas de gestion de proyectos,Sólidos conocimientos de herramientas de gestión de proyectos,0,1,1,job,none,,,0.209,select photos
excelentes habilidades de comunicacion escrita y verbal,Excelentes habilidades de comunicación escrita y verbal,0,1,1,job,none,,,0.312,communicate verbal instructions
excelentes habilidades de comunicacion,Excelentes habilidades de comunicación,0,1,1,job,none,,,0.216,demand excellence from performers
formacion continua para el desarrollo profesional,Formación continua para el desarrollo profesional,0,1,1,job,none,,,0.3184,conduct continuing professional development workshops
payments,payments,0,1,1,job,contains,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,0.5,
fruta,Fruta,0,1,1,job,none,,,0.2676,foreign valuta
jornadas intensivas verano,Jornadas intensivas verano,0,1,1,job,none,,,0.3522,intensive care medicine
jornadas intensivas viernes,Jornadas intensivas viernes,0,1,1,job,none,,,0.3352,intensive care medicine
formacion online,Formación online,0,1,1,job,none,,,0.532,search for information online
plan de acogida y desarrollo profesional,Plan de acogida y desarrollo profesional,0,1,1,job,none,,,0.3674,plan presence at professional events
universidad corporativa,Universidad Corporativa,0,1,1,job,none,,,0.4844,corporate law
descuentos exclusivos y opciones de financiacion,Descuentos exclusivos y opciones de financiación,0,1,1,job,none,,,0.315,financial products
visualizacion de datos,Visualización de datos,0,1,1,job,none,,,0.4308,prepare visual data
algoritmia,Algoritmia,0,1,1,job,none,,,0.6887,algorithms
ingles c1,Inglés C1,0,1,1,job,none,,,0.3212,consult to produce single malt beverages
habilidades analiticas,Habilidades analíticas,0,1,1,job,none,,,0.2615,rehabilitation
empatia,Empatía,0,1,1,job,none,,,0.4295,show empathy
oportunidades de desarrollo profesional y formacion continua,Oportunidades de desarrollo profesional y formación continua,0,1,1,job,none,,,0.2906,conduct continuing professional development workshops
entorno dinamico y colaborativo,Entorno dinámico y colaborativo,0,1,1,job,none,,,0.2846,establish collaborative relations
customer service,customer service,0,1,1,job,exact,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,customer service,1.0,
high autonomy,High autonomy,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d,patient autonomy,0.7178,
flexible collaborative environment,Flexible collaborative environment,0,1,1,job,none,,,0.4286,perform services in a flexible manner
professional development opportunities,Professional development opportunities,0,1,1,job,none,,,0.6535,develop opportunities for progression in sport
italian,Italian,0,1,1,job,exact,http://data.europa.eu/esco/skill/87219dfe-a21c-4160-8cc8-1eabf9b16b44,Italian,1.0,
multitasking,Multitasking,0,1,1,job,none,,,0.3343,perform multiple tasks at the same time
organization,Organization,0,1,1,job,contains,http://data.europa.eu/esco/skill/fdf15b35-9028-4acb-bfd2-43f00a015cd9,use personal organization software,0.25,
grok,Grok,0,1,1,job,none,,,0.2342,Grovo
multilingual translation,Multilingual translation,0,1,1,job,none,,,0.5157,machine translation
project coordination,Project coordination,0,1,1,job,none,,,0.5576,coordinate care
branding,Branding,0,1,1,job,contains,http://data.europa.eu/esco/skill/b2bdd9ad-4ecb-4ced-80c3-623686ef5328,perform pill branding,0.3333,
digital marketing,Digital marketing,0,1,1,job,contains,http://data.europa.eu/esco/skill/736ef286-fbd3-4e5c-a4b4-d1e2008c9898,plan digital marketing,0.6667,
content creation,Content creation,0,1,1,job,none,,,0.5701,create content title
ayudas para circunstancias personales o familiares concretas,Ayudas para circunstancias personales o familiares concretas,0,1,1,job,none,,,0.2462,test concrete
servicio medico propio,Servicio Médico propio,0,1,1,job,none,,,0.2605,sell services
ayudas al estudio para hijos e hijas de empleados,Ayudas al estudio para hijos e hijas de empleados,0,1,1,job,none,,,0.2768,assess studio production
habilidades organizativas,habilidades organizativas,0,1,1,job,none,,,0.468,use personal organization software
manejo de stock,manejo de stock,0,1,1,job,none,,,0.5388,stock the bar
capacidad de explicar conceptos complejos,Capacidad de explicar conceptos complejos,0,1,1,job,none,,,0.2889,plan ICT capacity
pensamiento analitico,Pensamiento analítico,0,1,1,job,none,,,0.2169,types of pensions
experiencia en banca,Experiencia en banca,0,1,1,job,none,,,0.6083,use experience map
experiencia en seguros,Experiencia en seguros,0,1,1,job,none,,,0.5746,use experience map
organizacion de stock,organización de stock,0,1,1,job,none,,,0.448,use personal organization software
orientacion al detalle,orientación al detalle,0,1,1,job,none,,,0.4342,ensure client orientation
excellent collaborative work environment,Excellent collaborative work environment,0,1,1,job,none,,,0.4563,work in cold environments
corporate benefits platform,Corporate benefits platform,0,1,1,job,none,,,0.5099,calculate benefits
23 days of vacation per year,23 days of vacation per year,0,1,1,job,none,,,0.1826,yeast fermentation principles
advisory,Advisory,0,1,1,job,none,,,0.5011,advise supervisors
consulting experience,Consulting experience,0,1,1,job,none,,,0.6065,use experience map
legal drafting,Legal drafting,0,1,1,job,none,,,0.579,crafting
risk assessment,Risk assessment,0,1,1,job,contains,http://data.europa.eu/esco/skill/951cf2b2-cff4-4079-8bd3-3e14aa839cef,conduct fitness risk assessment,0.5,
ai regulation,AI regulation,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/c4c51507-f669-4740-abf0-9bee87732185,port regulation,0.7688,
analisis de riesgos y evaluaciones de impacto,análisis de riesgos y evaluaciones de impacto,0,1,1,job,none,,,0.3143,conduct impact evaluation of ICT processes on business
definicion de modelos de gobierno en ia,definición de modelos de gobierno en IA,0,1,1,job,none,,,0.3184,create definitions
redaccion de clausulas y contratos en ia,redacción de cláusulas y contratos en IA,0,1,1,job,none,,,0.2327,contract law
conocimiento del reglamento ue de ia,conocimiento del Reglamento UE de IA,0,1,1,job,none,,,0.2898,bind fibreglass filaments
asesoramiento en inteligencia artificial,asesoramiento en inteligencia artificial,0,1,1,job,none,,,0.5872,principles of artificial intelligence
google professional machine learning engineer,Google Professional Machine Learning Engineer,0,1,1,job,none,,,0.436,use Google Search
azure ai engineer associate,Azure AI Engineer Associate,0,1,1,job,none,,,0.3851,food engineering
flexible modality,Flexible modality,0,1,1,job,none,,,0.5241,perform services in a flexible manner
dynamic and flexible work environment,Dynamic and flexible work environment,0,1,1,job,none,,,0.4237,work in cold environments
insurance domain experience,Insurance domain experience,0,1,1,job,none,,,0.5936,use experience map
advanced cognigy,Advanced Cognigy,0,1,1,job,none,,,0.5557,plan advanced nursing care
conversational ai,Conversational AI,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/75d73a0d-d26d-4520-896b-0fcb8c384ece,write in conversational tone,0.7772,
conexion directa con empresas,Conexión directa con empresas,0,1,1,job,none,,,0.3319,follow directions of the artistic director
acompanamiento de expertos,Acompañamiento de expertos,0,1,1,job,none,,,0.2671,provide technical expertise
orientacion laboral personalizada,Orientación laboral personalizada,0,1,1,job,none,,,0.3799,theories of personality
formacion gratuita,Formación gratuita,0,1,1,job,none,,,0.1915,report medication interaction to pharmacist
user focus,User focus,0,1,1,job,none,,,0.6658,focus on service
legal sector knowledge,Legal sector knowledge,0,1,1,job,none,,,0.6553,assess ICT knowledge
gitlab ci/cd,GitLab CI/CD,0,1,1,job,none,,,0.55,MATLAB
"flexible benefits (medical insurance, public transport card, childcare vouchers, restaurant card)","Flexible benefits (medical insurance, public transport card, childcare vouchers, restaurant card)",0,1,1,job,none,,,0.3448,manage restaurant service
continuous training program,Continuous training program,0,1,1,job,none,,,0.5824,operate continuous miner
intensive friday and summer hours,Intensive Friday and summer hours,0,1,1,job,none,,,0.4181,intensive care medicine
digital disconnection policy,Digital disconnection policy,0,1,1,job,none,,,0.3927,food policy
competitive salary + bonus,Competitive salary + bonus,0,1,1,job,none,,,0.4966,competition law
spanish communication,Spanish communication,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish,0.7233,
english communication,English communication,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.7362,
"metrics definition (kpis, okrs, north star)","Metrics definition (KPIs, OKRs, North Star)",0,1,1,job,none,,,0.5007,create definitions
b2b saas,B2B SaaS,0,1,1,job,none,,,0.4023,SaaS (service-oriented modelling)
excelente ambiente de trabajo,excelente ambiente de trabajo,0,1,1,job,none,,,0.2518,demand excellence from performers
plataforma de beneficios corporativos,plataforma de beneficios corporativos,0,1,1,job,none,,,0.422,corporate law
23 dias habiles de vacaciones al ano,23 días hábiles de vacaciones al año,0,1,1,job,none,,,0.1901,manage habitats
experiencia previa en consultoria,experiencia previa en consultoría,0,1,1,job,none,,,0.4329,use experience map
gemini vision,Gemini Vision,0,1,1,job,none,,,0.41,Havok Vision
dall·e 3,DALL·E 3,0,1,1,job,none,,,0.1534,intermodal options
stable diffusion,Stable Diffusion,0,1,1,job,none,,,0.5493,manage stable
aws bedrock,AWS Bedrock,0,1,1,job,none,,,0.3014,manage waste rock
openai ecosystem,OpenAI ecosystem,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/ddbf25f1-b91a-4083-9ef1-cc113a46e4c0,ecosystems,0.7513,
llama 3,LLaMA 3,0,1,1,job,none,,,0.2785,develop drama production process
google cloud devops certification,Google Cloud DevOps certification,0,1,1,job,none,,,0.4919,DevOps
azure devops certification,Azure DevOps certification,0,1,1,job,none,,,0.6621,DevOps
aws devops engineer certification,AWS DevOps Engineer certification,0,1,1,job,none,,,0.5683,DevOps
entorno saludable,Entorno saludable,0,1,1,job,none,,,0.2009,entomology
permisos ampliados,Permisos ampliados,0,1,1,job,none,,,0.2439,issue permits
"compensacion por teletrabajo (gastos de luz, internet, etc.)","Compensación por teletrabajo (gastos de luz, internet, etc.)",0,1,1,job,none,,,0.2856,use internet chat
modalidad hibrida: 2 dias de teletrabajo a la semana,Modalidad híbrida: 2 días de teletrabajo a la semana,0,1,1,job,none,,,0.2556,create cooperation modalities
jornada intensiva los viernes y en verano,Jornada intensiva los viernes y en verano,0,1,1,job,none,,,0.3051,intensive care medicine
ability to work in fast-paced environments,Ability to work in fast-paced environments,0,1,1,job,none,,,0.5479,work in cold environments
experimentation,Experimentation,0,1,1,job,none,,,0.6548,gather experimental data
extraccion de relaciones con llms,Extracción de relaciones con LLMs,0,1,1,job,none,,,0.3413,information extraction
extraccion de entidades con llms,Extracción de entidades con LLMs,0,1,1,job,none,,,0.3519,information extraction
procesamiento de datos no estructurados,Procesamiento de datos no estructurados,0,1,1,job,none,,,0.2712,maintain construction structures
procesamiento de datos estructurados,Procesamiento de datos estructurados,0,1,1,job,none,,,0.2834,maintain construction structures
taxonomias,Taxonomías,0,1,1,job,none,,,0.6202,organism taxonomy
diseno de ontologias,Diseño de ontologías,0,1,1,job,none,,,0.3721,paleontology
modelado de grafos de conocimiento,Modelado de grafos de conocimiento,0,1,1,job,none,,,0.2666,create model
english (b2+),English (B2+),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,1.0,
agile development,agile development,0,1,1,job,exact,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,1.0,
regulated finance sector knowledge,Regulated finance sector knowledge,0,1,1,job,none,,,0.5718,assess ICT knowledge
gpt-4,GPT-4,0,1,1,job,none,,,0.2738,operate GPS systems
high english proficiency,high English proficiency,0,1,1,job,none,,,0.5779,English
microservices architecture,microservices architecture,0,1,1,job,none,,,0.5605,information architecture
graphql apis,GraphQL APIs,0,1,1,job,none,,,0.3766,graphite
vertex ai studio,Vertex AI Studio,0,1,1,job,none,,,0.4494,assess studio production
haystack,Haystack,0,1,1,job,none,,,0.5766,stack goods
ethical responsibility,Ethical responsibility,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,show responsibility,0.7362,
inclusive leadership,Inclusive leadership,0,1,1,job,none,,,0.6262,provide leadership
acceso a certificaciones cloud,Acceso a certificaciones cloud,0,1,1,job,none,,,0.4164,cloud technologies
"certificaciones cloud (aws, google, azure)","Certificaciones cloud (AWS, Google, Azure)",0,1,1,job,none,,,0.358,use Google Search
dedicated hours for cloud certifications,Dedicated hours for cloud certifications,0,1,1,job,none,,,0.3997,issue certificates for animal products
access to specialized platforms,Access to specialized platforms,0,1,1,job,none,,,0.5252,ICT help platforms
mentorship program,Mentorship program,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/28722c99-68b7-4b7b-808f-53f343299935,provide mentorship,0.7439,
remote work / hybrid model,Remote work / hybrid model,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,Hybrid model,0.8208,
tech trend analysis,Tech Trend Analysis,0,1,1,job,none,,,0.531,market analysis
training and certifications,training and certifications,0,1,1,job,none,,,0.4913,monitor airworthiness certifications
continuous improvement mindset,Continuous improvement mindset,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/3b5c7dc9-bd4f-4360-95c8-f66636dcb8a8,encourage teams for continuous improvement,0.7002,
complex problem solving,Complex problem solving,0,1,1,job,none,,,0.6314,apply problem solving in social service
microsoft power platform,Microsoft Power Platform,0,1,1,job,none,,,0.5845,Microsoft Access
